feature,mean_abs_shap
merchant_risk_score,0.30217147
country_IN,0.30126342
amount,0.2998855
device_trust_score,0.28681025
ip_risk_score,0.28472933
account_age_days,0.23855516
login_velocity_24h,0.23516251
transaction_hour,0.16002826
merchant_category_utilities,0.10901246
merchant_category_grocery,0.089167915
payment_method_card,0.05877402
payment_method_upi,0.051178686
merchant_category_food_delivery,0.04587737
payment_method_wallet,0.044282194
channel_web,0.03493331
country_AE,0.03328932
country_GB,0.023806866
channel_android,0.022320686
country_BR,0.017229315
merchant_category_pharmacy,0.017223444
merchant_category_electronics,0.016757444
merchant_category_travel,0.016610758
country_NG,0.014704341
prior_chargebacks,0.012028852
merchant_category_fuel,0.010679195
merchant_category_fashion,0.010145784
channel_pos,0.009625793
country_US,0.0083972365
merchant_category_gaming,0.007977546
channel_ios,0.007949739
payment_method_netbanking,0.0077461414
country_SG,0.007174066
country_DE,0.0061336416
merchant_category_jewellery,0.0033300645
